tid;b;capex;g;i_max;id;opex;r;v_rated;x
1;0;400000;0;1360;Freileitung_110kV_2;0;0.0547;110;0.4
2;191.636993408203;101;0;300;MS_2;0;0.207000002264977;20;0.0691149979829788
3;185.35400390625;301;0;235;NS_2;0;0.319999992847443;0.4;0.0691149979829788
4;85.7655029296875;100;0;361;MS_3;0;0.165999993681908;20;0.117200002074242
6;191.636993408203;0;0;300;line_type_nehen23419003c3a2d62c93e0cc8cfea736a843ddfb0b026f7cda9c515e08a81ff4d8egd;0;0.207000002264977;0.400000005960464;0.0691149979829788
7;0;90000;0;617;Kabel_30kV_2;0;0.068;30;0.109
9;0;60000;0;410;Freileitung_30kV_2;0;0.237;30;0.361
10;191.636993408203;302;0;265;NS_3;0;0.253899991512299;0.4;0.0691149979829788
12;3.22012996673584;0;0;290;line_type_lhr0f7db426dfcfbba20f268415c0488b05318c08c9965275c04bfd9aa74b88db15nr;0;0.437000006437302;20;0.356000006198883
13;0;70000;0;423;Kabel_30kV_1;0;0.13;30;0.12
14;3;200;0;550;HS_1;0;0.109999999403954;110;0.379999995231628
15;0;60000;0;290;Freileitung_30kV_1;0;0.413;30;0.379
16;163.363006591797;300;0;195;NS_1;0;0.442999988794327;0.4;0.0722566023468971
11;0;350000;0;680;Freileitung_110kV_1 ;0;0.1094;110;0.4
5;3.22012996673584;102;0;290;MS_1;0;0.437000006437302;10;0.356000006198883
12218;0;0;0;182;line_type_gh10a6cab050e4d0eb8e963ede7f9a5c53bb13cba54703955c69d00d6f9380c7e7em;0;0.444000005722046;0.4;0.0869999974966049
12219;6.00044202804565;0;0;210;line_type_Gb3382c734043d7f82fc131666736bea37198af88b3ce36be9c83fcce670c808b4r;0;0.583999991416931;10;0.38400000333786
12220;30.9446868896484;0;0;290;line_type_ete7163c8003327942ecf05be98bed5cbef6ea603b3d26568db54f24b90f05706fdGl;0;0.358000010251999;10;0.323000013828278
12221;125.035385131836;0;0;200;line_type_nee2fa6d72c8664c935c84431058efcc3a6998c34f7a8e31516e0ed22816eb265citn;0;0.233999997377396;10;0.108000002801418
12223;19.9491138458252;0;0;290;line_type_relG57d4285c313a7d2bc47856a13dcb718dc3a8280f4780c0b9a68457d16ecb73efni;0;0.351999998092651;10;0.308999985456467
12224;126.354858398438;0;0;415;line_type_eeenc4b806d57df0b2868197bc5b09e2495b4d1cee18c5b94bbf3715a318160bf9d7eerr;0;0.068000003695488;10;0.103000000119209
12225;134.585830688477;0;0;296;line_type_de6996f9b0b58ee2ed715d39f12a5fdd7265e572a80d5d618fb8eaf20c25baf98eGrr;0;0.180000007152557;10;0.103000000119209
12226;6.12610578536987;0;0;290;line_type_eta9b3a4a9b1c1609ed6b52df388f0f1cf82eb018690ac471a2bbc69cf93bfefd9g;0;0.400999993085861;10;0.370000004768372
12227;84.477424621582;0;0;200;line_type_t699ffdb1fd41ce76d93d9793f583fb61eb6d6efab7b0e945b8dd47f049d95f2fdGa;0;0.391000002622604;10;0.185000002384186
12228;0;1000000;0;800;"Kabel_110kV_1
";0;0.0283;110;0.11
12229;155.603088378906;0;0;343;line_type_nf7345e41982fa3928c99a1a7603f02fa7fe784c91eec25da02761a5008a4067b2nta;0;0.155000001192093;10;0.0920000001788139
12230;74.6756591796875;0;0;323;line_type_nhe06c183ac64a02edf7f88b2dca3398654ebcde7e5b27897dea9a302595f7e683m;0;0.20100000500679;10;0.126000002026558
12231;102.258842468262;0;0;200;line_type_dlbaa26adfd62153c60013562db70fb15d26760cbef026ff351f7e970b2925b90feide;0;0.331999987363815;10;0.108999997377396
12232;158.2734375;0;0;343;line_type_eab1ce75db2d10a671f195f28adfd2b521f622f772c510a1dd8542f58116831edn;0;0.153999999165535;10;0.0900000035762787
12233;0;0;0;224;line_type_ddelt90d226993e8b9f9818a0d5f2fe9f9211b5c4d761c1dd2291c150f9b27b0bcadaef;0;0.319999992847443;0.4;0.068000003695488
12234;0;0;0;246;line_type_egt0f7def745aa5b4a950aece94ef43c09970a4b3ccff9d64cff605673997aff9e7n;0;0.208000004291534;0.4;0.0799999982118607
12235;58.2451286315918;0;0;290;line_type_nleea2c47062d6cd7530a76662ffb0ab46614e9dc05901c0a7b9d273a275748a9870baab;0;0.305000007152557;10;0.263000011444092
12236;119.914588928223;0;0;200;line_type_ane8b066a70aa1768108a8ce7c462fadbcef713f6897bf025c5b72801196951d601lnne;0;0.367000013589859;10;0.101000003516674
12237;113.631408691406;0;0;200;line_type_bgaac2f5504abfcf448905b7fc5d00cff90c7a0a813092115e43d124cd47ccf25feeIt;0;0.363999992609024;10;0.103000000119209
12238;0;0;0;999;line_type_ar3e8d931ef77d4b748599e5e5cfbd810ca5d3d86357e8a9c9b195d4e15b932fb4g;0;0.400000005960464;0.4;0
12239;115.956184387207;0;0;316;line_type_n360a844e48289b082c9acc4e51299559de498908a3baeb2960b726344bdef801ee;0;0.210999995470047;10;0.114000000059605
12240;153.686706542969;0;0;343;line_type_aenb3d3945a0b223acabab9840fdb8dde073c83bcafa449f3dbb167385aed125803i;0;0.156000003218651;10;0.0930000022053719
12241;146.146896362305;0;0;200;line_type_nefc81521b2420996b1c1ae2036ac043394e1fce1cccd8ae9be2a532a06e55eb7fi;0;0.23199999332428;10;0.0930000022053719
12242;47.6893768310547;0;0;200;line_type_lat656bce7df8878087684b465ac9e64b35cd868b2321e2e866bb7ea7bb71b6b162;0;0.397000014781952;10;0.275999993085861
12243;79.13671875;0;0;290;line_type_eeeeIid24ca550446abd935e2566a3178dbcacb6041ca4c343544cac8475fc1257e0e0b;0;0.264999985694885;10;0.218999996781349
12244;67.1672515869141;0;0;323;line_type_ihGee5c26a162ac747185510f1e5b0b1fce916ccf66ea703e31e2dfa2318d3eaa453ced;0;0.206000000238419;10;0.128000006079674
12245;96.101318359375;0;0;290;line_type_er14ad273e6b48d26153173c65ed5c95b454370fd0050e5513fd2f89eb9e028ec6eh;0;0.231000006198883;10;0.180000007152557
12246;7.09999942779541;0;0;290;line_type_encb5b5dfdcab751325643ed058756b759924fd2105348310300401bcf8befe4c7l;0;0.405000001192093;10;0.375999987125397
12247;89.629638671875;0;0;323;line_type_htt3745ab25a3fa3f59e17922d2d8f99f11d9798752c3185784f56bf58ad4fe6392bag;0;0.19200000166893;10;0.122000001370907
12248;0;0;0;185;line_type_rf6a17291578ec9f603d9153598badd376960b6e4ae31c36d2241b8c02a7e1902agte;0;0.386999994516373;0.4;0.0850000008940697
12249;94.970344543457;0;0;250;line_type_antf92cb047c7fa989af3662ecf387f131404ed7cc3179492565e0efeef8ed899e4ihr;0;0.215000003576279;10;0.199000000953674
12250;0;0;0;999;line_type_rf99074d2599b83a9e7047ecd6a90b8d4a2165acecf39cfac6c86a3971fb49840rg;0;0.642000019550323;0.4;0.0829999968409538
12251;0;0;0;141;line_type_nbrt1b4c059376d30dbe6792e9843a5667174460233f5a7f7dede6e44cbb318be6f8eid;0;0.769999980926514;0.4;0.0850000008940697
12252;32.6411476135254;0;0;290;line_type_ldieae6b092fbac05d786866f7716f0696a9e178e30b0b6b7591acd8aae5aeec0821eet;0;0.307000011205673;10;0.252000004053116
12253;9.33053016662598;0;0;210;line_type_nrne5e6bf2668fa84b0b561bd3bea34a7458f3429bf9a149282527a5e4dcf04c26dniat;0;0.573000013828278;10;0.375999987125397
12254;8.19955635070801;0;0;170;line_type_nei5441ab196c0b522251e563e45a8699ff827176c4d7ed69c26b0d298dad7d8d77edf;0;0.796000003814697;10;0.388999998569489
12255;67.2929153442383;0;0;170;line_type_ge8f971fea7a94c034503cf685780996494cad09ac3fc267aa769852eca1bde7eeegd;0;0.486000001430511;10;0.252000004053116
12256;0;0;0;148;line_type_ni95cbcd2b0f3513d99f7ea06484e42510a40da8b280662efedc92bf14233631ednn;0;0.642000019550323;0.4;0.0900000035762787
