uuid;tid;amount;st_astext;id;in_operation;length;node_a;node_b;operates_from;operates_until;scenario;type
a626e0e2-a78c-38d2-9596-1a8923e61e78;235836;1;;LTG_HS_NET1_Station_3-HS_NET1_Station_4;t;20;12079;12081;;;;11
9564d52f-e30f-3952-bc66-231471c16f67;235835;1;;LTG_HS_NET1_Station_3-HS_NET1_Station_2;t;20;12079;12077;;;;12228
19d829a0-8254-371f-aba1-a9decc3a7681;235841;1;;LTG_MS1_04-MS1_05;t;0.800000011920929;12086;12087;;;;2
2d22e2e0-0a3a-3386-be7e-e85a2d1dc8ec;235992;1;;LTG_NS_NET136_ONS-NS_NET136_S1_1;t;0.0299999993294477;12248;12249;;;;16
e82b0fb4-6958-3b05-b114-e526ead80d98;235844;1;;LTG_MS2_01-MS2_02;t;2;12091;12092;;;;4
f42cdac8-fbab-34a2-af21-724e83d620da;236070;1;;LTG_NS_NET146_F2_(15)-NS_NET146_F2_(16);t;0.0179999992251396;12309;12310;;;;16
1ba61a86-352a-3e83-bd3d-6dfaf4593c78;235953;1;;LTG_NS_NET126_F2_(2)-NS_NET126_F2_(1);t;0.028999999165535;12181;12170;;;;10
9a435c18-0045-3d5a-ba5f-72ab8944ace3;236025;1;;LTG_NS_NET136_S1_1-NS_NET136_S1_2;t;0.0299999993294477;12249;12250;;;;10
50552577-3df5-3081-bcb5-e1f4247336f2;235950;1;;LTG_NS_NET126_F2_(16)-NS_NET126_F2_(17);t;0.0240000002086163;12177;12178;;;;10
b1666562-fa6e-3744-9840-34f98c5e7069;236069;1;;LTG_NS_NET146_F2_(14)-NS_NET146_F2_(15);t;0.0320000015199184;12308;12309;;;;3
37d21802-bd6a-30e8-8a92-6fa6dc23dd6a;236072;1;;LTG_NS_NET146_F2_(18)-NS_NET146_F2_(19);t;0.028999999165535;12312;12313;;;;10
555a0a40-2fd8-3b45-ac12-0169c78d4569;236061;1;;LTG_NS_NET146_F2_(9)-NS_NET146_F2_(10);t;0.0179999992251396;12330;12304;;;;16
06db94ac-dc01-3c96-bdf7-3fc891e7649e;235978;1;;LTG_NS_NET126_F4_(9)-NS_NET126_F4_(10);t;0.0329999998211861;12246;12231;;;;16
2764b117-2f68-35cc-8a5d-50240cc47aec;236020;1;;LTG_NS_NET146_F2_(10)-NS_NET146_F2_(11);t;0.0189999993890524;12304;12305;;;;16
ba602aff-628a-34f6-999a-1d8c6ef23864;235927;1;;LTG_NS_NET126_F4_(2)-NS_NET126_F4_(1);t;0.0710000023245811;12239;12230;;;;3
cb2ea799-b2a3-3891-9ff0-ae94233a2d1c;235929;1;;LTG_NS_NET126_F4_(3)-NS_NET126_F4_(4);t;0.0529999993741512;12240;12241;;;;10
e8bbe134-d725-3d05-95e8-9a50ee6947b7;235988;1;;LTG_NS_NET126_F4_(10)-NS_NET126_F4_(11);t;0.0759999975562096;12231;12232;;;;3
4224fdfd-8ae8-35f5-9b61-859ff126e002;235999;1;;LTG_NS_NET136_S3_3-NS_NET136_S3_4;t;0.0299999993294477;12261;12262;;;;16
bb45bbea-1c9e-3067-a481-d61b38b96749;236030;1;;LTG_NS_NET136_S3_4-NS_NET136_S3_5;t;0.0299999993294477;12262;12263;;;;10
1882bef1-d309-34b0-b841-e1617bee2089;235998;1;;LTG_NS_NET136_S3_2-NS_NET136_S3_3;t;0.0299999993294477;12260;12261;;;;3
e148f4a9-8158-3fe4-a08c-7887e82df228;235922;1;;LTG_NS_NET126_F4_(12)-NS_NET126_F4_(13);t;0.0390000008046627;12233;12234;;;;10
e61eef32-9270-3cb5-a3ac-7d5be0671ad5;235931;1;;LTG_NS_NET126_F4_(7)-NS_NET126_F4_(8);t;0.0419999994337559;12244;12245;;;;16
7c4e37e5-37d4-3547-924b-889bd38ee975;236056;1;;LTG_NS_NET146_F2_(25)-NS_NET146_F2_(26);t;0.0219999998807907;12320;12321;;;;10
78f6f77c-4e76-3a1f-9259-25e37c6f347d;236076;1;;LTG_NS_NET146_F2_(22)-NS_NET146_F2_(23);t;0.0270000007003546;12317;12318;;;;10
f5f05fc7-d9cb-30f8-9926-81db027b3264;236121;1;;LTG_NS_NET146_F4_(7)-NS_NET146_F4_(8);t;0.0419999994337559;12377;12378;;;;10
6b9fd2e7-b41a-3240-a0d6-9aa9c798418b;235845;1;;LTG_MS2_02-MS2_03;t;0.5;12092;12093;;;;4
e5390dab-6843-3742-8b05-383dd295f034;235910;1;;LTG_NS_NET126_F2_(5)-NS_NET126_F2_(6);t;0.028999999165535;12193;12194;;;;16
7c016011-f000-37ed-a281-9d4ab9e38ad5;235849;1;;LTG_MS2_06-MS2_07;t;6;12096;12098;;;;4
75be7aaf-a9ec-3c4e-925d-bc01f05f81bb;235861;1;;LTG_MS4_06-MS4_07;t;6;12112;12114;;;;2
dba4312d-dce7-3b45-ae2e-1b8d7019d617;235993;1;;LTG_NS_NET136_ONS-NS_NET136_S2_1;t;0.0299999993294477;12248;12254;;;;10
ee01853c-a85c-311d-86bb-396e77dd80fd;235886;1;;LTG_NS_NET126_F1_(16)-NS_NET126_F1_(17);t;0.0320000015199184;12138;12139;;;;3
1f63426d-e1f1-3df5-9889-210f31521e84;235891;1;;LTG_NS_NET126_F1_(22)-NS_NET126_F1_(23);t;0.0270000007003546;12145;12146;;;;16
5a7e276d-c05a-307a-a9f9-45d130dbcb59;235938;1;;LTG_NS_NET126_F1_(28)-NS_NET126_F1_(27);t;0.0299999993294477;12151;12150;;;;10
e2620279-8ca5-3906-9200-e4c677595761;235940;1;;LTG_NS_NET126_F1_(3)-NS_NET126_F1_(4);t;0.0199999995529652;12153;12164;;;;10
3745807d-98ac-353e-8451-f608b3bde111;235894;1;;LTG_NS_NET126_F1_(31)-NS_NET126_F1_(30);t;0.0199999995529652;12155;12154;;;;10
e43b5378-a824-30aa-bf1b-836da481eb84;235901;1;;LTG_NS_NET126_F1_(6)-NS_NET126_F1_(7);t;0.0309999994933605;12166;12167;;;;10
5d22d6ec-4215-393b-8895-ab52065cb946;235945;1;;LTG_NS_NET126_F1_(7)-NS_NET126_F1_(8);t;0.0189999993890524;12167;12168;;;;3
4b854e48-9a0d-389b-98e4-6b96f20868a1;235904;1;;LTG_NS_NET126_F2_(14)-NS_NET126_F2_(15);t;0.0320000015199184;12175;12176;;;;10
8016dbca-704f-3e98-bba8-4f71dfede940;235955;1;;LTG_NS_NET126_F2_(22)-NS_NET126_F2_(23);t;0.0270000007003546;12184;12185;;;;16
433ef0f2-b929-325b-9893-fbeca8ab4065;235911;1;;LTG_NS_NET126_F2_(9)-NS_NET126_F2_(10);t;0.0179999992251396;12197;12171;;;;16
ddf0113c-d977-34b0-8d96-224ce74133ef;235833;1;;LTG_HS_NET1_Station_1-HS_NET1_Station_2;t;24;12074;12077;;;;1
a5ee07b3-6861-3ef0-9293-5cf4b9dc66ba;235914;1;;LTG_NS_NET126_F3_(16)-NS_NET126_F3_(17);t;0.0299999993294477;12205;12206;;;;16
44b1f3b6-1e33-3ef5-82f7-cf317a153a96;235915;1;;LTG_NS_NET126_F3_(17)-NS_NET126_F3_(18);t;0.0209999997168779;12206;12207;;;;3
b2f94f4b-47fb-35d8-b206-359c5ae69bbb;235974;1;;LTG_NS_NET126_F3_(21)-NS_NET126_F3_(22);t;0.0270000007003546;12211;12212;;;;16
236b1de0-472d-3b64-8179-0be61f7286f9;236040;1;;LTG_NS_NET146_F1_(23)-NS_NET146_F1_(24);t;0.0500000007450581;12279;12280;;;;10
d52dd4f7-cd9c-3cb2-ba77-410c22e9fcf5;235919;1;;LTG_NS_NET126_F3_(25)-NS_NET126_F3_(26);t;0.0260000005364418;12215;12216;;;;3
