SuSa,SuSu,SuWd,TrSa,TrSu,TrWd,WiSa,WiSu,WiWd,quarterHour
23.6,22.4,23.6,20.7,22.4,20.2,25.8,25.7,26.4,1
22.5,21.8,22.5,20.8,21.9,19.7,25.2,25.0,26.4,2
21.5,21.3,21.5,20.9,21.4,19.2,24.7,24.6,26.4,3
20.8,20.8,20.8,20.8,20.8,18.9,24.6,24.6,26.5,4
20.5,20.6,20.5,20.5,20.2,18.8,25.0,25.0,26.5,5
20.5,20.6,20.5,20.0,19.5,18.8,25.6,25.6,26.5,6
20.7,20.7,20.6,19.4,19.1,18.9,26.2,26.2,26.5,7
20.8,20.8,20.8,18.9,18.9,18.9,26.5,26.5,26.5,8
20.9,20.9,21.0,18.6,19.2,18.9,26.3,26.3,26.6,9
20.9,20.9,21.0,18.5,19.7,18.9,25.8,25.7,26.6,10
20.9,20.8,21.0,18.6,20.3,18.9,25.1,25.1,26.6,11
20.8,20.8,20.8,18.9,20.8,18.9,24.6,24.6,26.5,12
20.8,20.8,20.6,19.5,21.2,19.0,24.4,24.4,26.2,13
20.8,20.8,20.4,20.2,21.3,19.1,24.5,24.5,25.8,14
20.8,20.9,20.5,20.7,21.2,19.1,24.6,24.6,25.3,15
20.8,20.8,20.8,20.8,20.8,18.9,24.6,24.6,24.6,16
20.7,20.7,21.6,20.4,20.3,18.5,24.5,24.5,23.9,17
20.7,20.7,22.4,19.6,19.6,18.3,24.3,24.3,23.6,18
20.7,20.7,22.9,19.0,19.1,18.9,24.3,24.3,24.3,19
20.8,20.8,22.7,18.9,18.9,20.8,24.6,24.6,26.5,20
21.1,21.2,21.6,19.6,19.1,24.1,25.4,25.4,27.0,21
21.6,21.7,20.7,20.7,19.6,27.2,26.5,26.5,27.4,22
22.1,22.2,21.2,21.9,20.3,28.1,27.6,27.6,27.9,23
22.7,22.7,24.6,22.7,20.8,24.6,28.4,28.4,28.4,24
23.3,23.1,31.9,22.9,21.1,27.9,28.7,28.8,31.5,25
23.8,23.3,43.9,22.7,21.2,28.6,28.7,28.8,32.5,26
24.2,23.2,60.8,22.5,21.1,30.8,28.5,28.6,35.3,27
24.6,22.7,83.3,22.7,20.8,32.2,28.4,28.4,36.0,28
24.9,21.9,111.4,23.8,20.4,74.1,28.5,28.2,90.3,29
25.2,20.8,143.9,25.9,19.8,131.7,29.1,28.1,164.8,30
25.7,19.8,179.2,29.3,19.3,195.3,30.2,28.2,246.8,31
26.5,18.9,215.8,34.1,18.9,255.5,32.2,28.4,323.7,32
27.7,18.5,251.9,40.3,18.8,304.6,35.0,28.8,385.2,33
29.4,18.4,285.0,47.2,18.7,341.8,38.4,29.3,430.7,34
31.5,18.5,312.3,53.6,18.8,368.0,42.0,29.9,462.0,35
34.1,18.9,331.2,58.7,18.9,384.2,45.4,30.3,480.8,36
37.0,19.4,340.0,61.6,19.0,391.7,48.4,30.5,489.0,37
40.1,20.0,341.2,62.7,19.0,393.1,50.9,30.5,489.9,38
43.0,20.5,338.3,62.8,19.0,391.5,53.0,30.4,486.7,39
45.4,20.8,335.0,62.5,18.9,389.9,54.9,30.3,482.6,40
47.2,20.9,334.1,62.2,18.8,390.6,56.6,30.1,480.5,41
48.4,20.9,334.9,62.2,18.7,392.9,57.9,30.0,479.8,42
