SuSa,SuSu,SuWd,TrSa,TrSu,TrWd,WiSa,WiSu,WiWd,quarterHour
91.8,48.8,67.4,75.6,42.5,56.0,66.6,38.9,50.1,0
118.3,47.8,61.2,97.6,42.0,51.3,87.3,38.4,47.4,1
145.6,46.6,54.6,121.4,41.6,46.6,111.7,38.1,44.9,2
168.3,45.3,49.4,143.1,41.3,43.3,137.0,38.3,43.3,3
182.2,44.3,46.7,159.4,41.1,42.4,160.7,39.2,43.0,4
188.4,43.4,46.0,170.6,40.9,42.9,180.8,40.5,43.8,5
189.4,42.8,45.9,177.6,41.0,43.7,195.6,41.7,45.0,6
187.4,42.3,45.3,181.4,41.3,43.3,203.5,42.3,46.3,7
184.6,42.0,43.9,182.9,41.9,41.4,203.7,42.0,47.5,8
182.2,41.9,44.3,183.1,42.6,40.1,198.9,40.9,49.2,9
181.2,42.0,50.0,182.9,43.1,42.8,192.6,39.6,52.2,10
182.4,42.3,64.5,183.4,43.3,52.4,188.4,38.3,57.4,11
186.5,42.8,89.7,185.2,43.0,71.0,189.1,37.4,65.9,12
192.6,43.3,121.1,188.7,42.2,95.9,194.0,36.9,78.5,13
199.7,43.9,152.6,193.7,41.3,123.5,201.6,36.9,96.5,14
206.5,44.3,178.3,200.5,40.3,150.1,210.6,37.3,120.9,15
212.3,44.6,193.7,208.8,39.5,172.6,219.6,38.0,151.7,16
217.0,44.8,200.6,217.5,39.0,190.3,228.2,39.0,184.7,17
221.0,45.0,202.4,225.2,38.9,203.3,236.0,40.2,214.5,18
224.7,45.3,202.5,230.7,39.3,211.6,242.8,41.3,235.8,19
228.3,46.0,203.8,233.1,40.4,215.4,248.4,42.3,244.7,20
231.5,46.8,206.0,232.9,42.0,216.2,252.5,43.4,244.2,21
234.1,48.0,208.6,231.4,44.0,215.7,255.0,44.7,238.7,22
235.8,49.4,210.6,229.7,46.3,215.6,255.9,46.3,232.7,23
236.2,51.0,211.5,228.7,48.8,217.2,255.1,48.5,229.8,24
235.8,52.7,211.5,228.4,51.2,220.0,253.2,51.0,229.8,25
234.8,54.2,211.1,228.8,53.2,223.1,250.5,53.4,231.4,26
233.8,55.4,210.6,229.7,54.4,225.7,247.9,55.4,233.8,27
232.6,56.2,210.3,230.9,54.8,227.0,245.4,56.8,235.7,28
230.4,56.5,210.3,230.9,54.4,226.9,242.0,57.6,237.1,29
225.9,56.6,210.4,228.0,53.5,225.8,236.2,57.8,237.9,30
217.6,56.4,210.6,220.7,52.4,223.7,226.7,57.4,237.8,31
204.9,56.2,210.8,207.9,51.3,220.8,212.7,56.6,236.9,32
189.4,55.9,210.8,191.8,50.4,217.7,196.2,55.7,235.4,33
173.1,55.6,210.4,175.3,50.1,214.8,180.2,54.8,233.6,34
158.2,55.4,209.6,161.2,50.4,212.6,167.3,54.4,231.7,35
146.4,55.4,208.1,151.7,51.6,211.3,159.5,54.6,230.0,36
137.7,55.7,205.8,145.9,53.5,210.5,155.5,55.4,228.1,37
131.7,56.7,202.6,142.2,55.8,209.1,153.4,56.7,225.4,38
128.0,58.4,198.5,13.09,58.4,206.5,151.1,58.4,221.7,39
126.0,61.2,193.4,135.1,61.1,202.2,147.0,60.4,216.4,40
125.3,64.5,187.8,130.6,63.7,196.5,141.5,62.5,210.2,41
125.2,68.1,182.3,126.0,66.2,190.3,135.6,64.6,203.7,42
124.9,71.5,177.3,121.9,68.5,184.4,130.0,66.5,197.5,43
124.1,74.4,173.3,118.8,70.6,179.2,125.6,68.2,192.0,44
123.2,76.7,169.7,116.9,72.4,174.3,122.7,69.6,186.8,45
122.6,78.4,165.6,116.5,73.7,168.9,121.4,70.7,181.1,46
122.9,79.6,160.2,117.9,74.6,162.2,121.9,71.5,174.3,47
124.4,80.2,153.0,120.8,74.8,153.7,124.1,72.0,165.9,48
125.9,80.1,144.7,123.8,74.4,144.2,126.4,72.1,156.2,49
125.9,79.2,136.0,124.8,73.3,134.6,127.0,71.7,146.1,50
122.9,77.6,128.0,121.9,71.5,125.9,123.9,70.5,136,51
116.0,75.1,121.3,113.9,69.1,119.1,116.1,68.7,126.7,52
106.4,72.1,116.6,102.6,66.3,114.2,105,66.3,118.7,53
96.0,69.1,114.0,90.3,63.7,111.1,93.1,63.8,112.6,54
86.6,66.5,113.9,79.6,61.5,109.8,82.6,61.5,108.8,55
79.8,64.6,116.3,72.3,60.0,110.1,75.3,59.5,107.7,56
75.6,63.5,120.1,68.1,59.3,111.4,70.8,58.0,108.4,57
73.6,63.1,123.8,66.1,59.2,112.9,68.2,57.0,109.8,58
73.6,63.5,125.9,65.5,59.4,113.9,66.5,56.4,110.8,59
75.0,64.4,125.5,65.5,59.9,113.8,64.9,56.3,110.7,60
77.2,65.7,123.0,65.7,60.4,112.9,63.5,56.5,109.5,61
79.4,66.8,119.5,65.8,60.6,111.4,62.3,56.9,107.7,62
80.6,67.5,115.9,65.5,60.5,109.8,61.5,57.4,105.8,63
80.3,67.4,113.0,64.6,59.7,108.3,61.1,57.9,104.1,64
78.8,66.8,110.9,63.6,58.9,107.1,61.5,58.6,103.1,65
76.7,66.0,109.5,63.0,58.3,106.2,62.5,59.7,103.1,66
74.6,65.5,108.8,63.5,58.4,105.8,64.5,61.5,104.8,67
72.8,65.4,108.5,65.4,59.7,105.8,67.3,64.1,108.1,68
71.2,65.5,108.2,68.2,61.5,105.8,70.5,67.1,112.2,69
69.5,65.3,107.1,71.2,63.3,105.3,73.5,70.1,115.9,70
67.5,64.5,104.8,73.6,64.5,103.8,75.6,72.5,117.9,71
65.0,62.7,100.7,74.8,64.6,100.8,76.3,74,117.3,72
62.3,60.3,95.2,74.8,63.7,96.7,75.9,74.4,114.2,73
59.9,57.8,89.0,73.7,62.2,91.9,74.6,73.6,109.2,74
58.4,55.4,82.6,71.5,60.5,86.6,72.5,71.5,102.8,75
58.1,53.7,76.6,68.6,58.6,81.5,70.1,68.3,95.3,76
58.5,52.5,71.2,65.3,56.8,76.5,67.5,64.4,87.7,77
59.2,51.8,66.7,62.0,55.1,72.2,64.9,60.5,80.5,78
59.4,51.4,63.5,59.4,53.4,68.5,62.5,57.4,74.6,79
59.0,51.2,61.6,57.8,51.8,65.8,60.4,55.6,70.4,80
57.8,51.1,60.6,56.9,50.5,63.8,58.6,54.6,67.6,81
56.2,50.9,60.1,56.3,49.3,62.5,57.0,54.1,65.5,82
54.4,50.4,59.4,55.4,48.4,61.5,55.4,53.4,63.5,83
52.6,49.4,58.3,54.1,47.7,60.6,53.9,52.2,61.1,84
51.0,48.2,57.0,52.4,47.3,59.9,52.2,50.5,58.5,85
