SuSa,SuSu,SuWd,TrSa,TrSu,TrWd,WiSa,WiSu,WiWd,quarterHour
60.0,85.6,56.8,64.7,98.7,61,67.5,100.3,62.1,1
59.4,79.0,52.0,63.4,91.2,54.9,67.8,91.1,55.6,2
59.4,73.6,48.0,63.0,84.5,49.9,68.5,83.4,50.1,3
58.9,69.3,45.0,62.4,78.5,46.2,68.1,77.4,46.2,4
57.1,65.8,43.0,60.4,73.1,43.7,65.4,73.2,44.0,5
54.3,63.0,41.8,57.5,68.1,42.1,61.0,70.5,43.0,6
51.3,60.4,41.0,54.1,63.8,41.1,56.1,68.6,42.8,7
48.5,57.7,40.4,50.8,60.0,40.4,52.0,67.0,42.7,8
46.5,54.8,39.7,48.1,57.0,39.7,49.4,65.1,42.3,9
45.2,51.7,39.1,45.9,54.3,39.0,48.1,63.0,41.7,10
44.4,48.7,38.5,44.1,52.0,38.5,47.6,60.9,40.9,11
43.9,46.2,38.1,42.7,49.7,38.1,47.3,58.9,40.4,12
43.4,44.3,38.0,41.6,47.2,38.0,46.9,57.1,40.2,13
43.0,42.8,38.1,40.6,44.7,38.1,46.4,55.4,40.2,14
42.4,41.6,38.2,39.8,42.4,38.2,45.7,53.8,40.3,15
41.6,40.4,38.1,39.3,40.4,38.1,45.0,52.0,40.4,16
40.6,39.2,37.7,38.8,38.9,37.8,44.5,50.0,40.3,17
39.5,38.0,37.2,38.5,37.8,37.4,44.0,48.0,40.2,18
38.6,37.2,36.9,38.3,37.1,37.0,43.8,46.3,40.2,19
38.1,37.0,37.0,38.1,37.0,37.0,43.9,45.0,40.4,20
38.2,37.5,37.6,37.9,37.2,37.3,44.2,44.4,40.9,21
38.7,38.3,38.6,37.7,37.5,37.9,44.7,44.3,41.6,22
39.5,39.1,39.6,37.4,37.5,38.6,45.1,44.2,42.3,23
40.4,39.3,40.4,37.0,37.0,39.3,45.0,43.9,42.7,24
41.3,38.6,40.8,36.4,35.7,39.8,44.6,43.2,42.9,25
42.3,37.7,41.0,36.3,34.5,40.4,44.0,42.5,43.0,26
43.9,37.7,41.5,37.0,34.6,41.2,44.0,42.6,43.6,27
46.2,39.3,42.7,39.3,37.0,42.7,45.0,43.9,45.0,28
49.5,43.2,45.0,43.3,42.3,45.0,47.5,46.9,47.7,29
53.4,49.1,48.3,48.5,49.8,48.1,51.1,51.1,51.7,30
57.5,56.1,52.6,54.0,58.0,52.0,55.5,55.7,57.0,31
61.2,63.5,57.7,58.9,65.8,56.6,60.0,60.0,63.5,32
64.3,70.9,63.6,62.6,72.3,61.8,64.5,63.8,71.1,33
67.2,78.3,69.6,65.6,78.7,67.5,68.6,68.3,79.2,34
70.2,86.1,75.2,68.7,86.4,73.1,72.1,75.4,86.9,35
73.9,94.7,79.7,72.8,97.0,78.5,75.1,86.6,93.5,36
78.7,104.4,82.8,78.3,111.6,83.4,77.5,103.2,98.6,37
84.7,115.4,85.2,85.5,129.1,88.1,80.8,123.6,102.6,38
91.9,127.9,87.7,94.1,147.9,92.9,86.8,145.8,106.4,39
100.5,142.0,91.2,103.9,166.3,98.2,97.0,167.4,110.9,40
110.2,157.7,96.5,114.8,183.1,104.3,112.5,186.9,116.8,41
120.3,173.7,103.5,126.0,198.4,111.6,131.1,203.9,124.4,42
129.7,188.2,111.8,136.5,213.1,120.6,150.0,218.5,133.9,43
137.4,199.8,121.3,145.5,227.5,131.6,166.3,231.0,145.5,44
142.7,207.2,131.4,152.3,242.0,144.7,177.7,241.2,159.0,45
145.9,211.0,141.2,157.1,255.2,158.3,184.6,249.2,172.7,46
147.4,212.5,149.8,160.1,265.6,170.4,187.8,254.7,184.3,47
147.8,212.5,155.9,161.7,271.4,179.0,188.2,257.5,191.7,48
147.5,212.0,158.9,162.1,271.6,182.7,186.8,257.7,193.5,49
146.8,211.5,159.2,161.8,267.8,182.6,184.3,256.1,191.1,50
145.7,211.2,157.5,161.1,262.4,180.1,181.4,253.8,186.7,51
144.3,211.3,154.7,160.5,257.5,176.7,179.0,251.7,182.5,52
143.0,211.8,151.3,160.3,254.9,173.6,177.5,250.6,179.8,53
142.1,211.7,147.2,160.7,253.3,170.1,177.0,249.1,177.6,54
142.4,209.7,141.9,161.8,250.9,165.3,177.2,245.5,174.1,55
144.3,204.4,135.1,164.0,246.0,158.2,177.8,237.9,167.4,56
148.4,195.1,126.7,167.1,237.1,148.2,178.8,225.3,156.5,57
154.0,183.1,117.8,170.9,225.2,136.6,179.9,209.3,143.2,58
160.6,170.2,109.4,174.7,211.5,125.1,181.2,192.3,130.2,59
167.4,158.2,102.8,177.8,197.5,115.5,182.5,176.7,120.1,60
173.8,148.6,98.9,180.0,184.2,109.0,183.7,164.2,114.8,61
179.2,141.2,97.3,181.2,171.9,105.2,184.8,154.7,113.5,62
183.1,135.3,97.3,181.6,160.6,103.4,185.5,147.5,114.2,63
184.8,130.5,98.2,181.3,150.1,102.8,185.9,142.0,115.5,64
184.1,126.4,99.3,180.7,140.8,102.7,186.0,137.9,116.0,65
182.1,123.6,100.8,180.5,133.8,103.7,186.9,136.1,116.6,66
179.9,123.1,103.0,181.6,130.7,106.2,189.9,138.2,118.7,67
179.0,125.9,106.2,184.8,132.8,110.9,196.3,145.5,123.6,68
