SuSa,SuSu,SuWd,TrSa,TrSu,TrWd,WiSa,WiSu,WiWd,quarterHour
89.8,100.1,86.3,80.2,93.4,77.8,70.8,87.5,67.6,0
84.9,92.5,76.9,75.1,86.8,69.6,68.2,81.1,60.8,1
80.7,85.9,68.8,70.7,81.2,62.4,65.9,75.0,54.9,2
76.6,79.9,62.4,66.6,75.7,56.6,63.3,69.1,49.9,3
71.7,74.1,58.0,62.3,70.1,52.5,59.5,63.4,46.2,4
66.6,68.7,55.3,58.0,64.5,49.7,55.0,58.2,43.6,5
61.6,63.9,53.6,54.1,59.3,47.9,50.5,53.6,41.9,6
57.4,59.9,52.4,50.8,54.9,46.6,46.6,49.9,40.8,7
54.5,57.0,51.3,48.4,51.7,45.5,43.9,47.3,40.1,8
52.6,55.0,50.3,46.8,49.4,44.5,42.3,45.5,39.6,9
51.4,53.5,49.2,45.7,47.8,43.8,41.4,44.2,39.4,10
50.8,52.4,48.3,44.9,46.6,43.3,40.8,43.3,39.1,11
50.3,51.5,47.5,44.4,45.5,43.0,40.3,42.4,38.8,12
50.0,50.8,46.9,43.9,44.5,43.0,39.9,41.5,38.6,13
49.9,50.2,46.5,43.5,43.8,43.1,39.5,40.7,38.3,14
49.9,49.9,46.6,43.3,43.3,43.3,39.1,40.0,38.3,15
50.1,49.9,47.1,43.1,43.1,43.4,38.8,39.3,38.4,16
50.4,50.0,48.0,43.1,43.1,43.7,38.5,38.8,38.8,17
50.7,50.1,49.3,43.1,43.2,44.2,38.3,38.5,39.3,18
50.8,49.9,50.8,43.3,43.3,44.9,38.3,38.3,40.0,19
50.8,49.5,52.7,43.6,43.3,46.3,38.5,38.3,40.9,20
50.9,48.9,55.6,44.2,43.3,48.9,39.1,38.4,43.1,21
51.6,48.4,60.5,45.4,43.2,53.7,40.3,38.7,47.7,22
53.3,48.3,68.2,47.4,43.3,61.6,42.4,39.1,55.8,23
56.2,48.7,79.2,50.5,43.5,72.9,45.6,39.7,68.0,24
60.4,49.8,92.0,54.9,44.3,86.3,49.9,40.4,82.8,25
65.8,51.9,104.7,60.7,46.0,100.1,55.3,41.3,98.0,26
72.4,54.9,115.7,68.2,49.1,112.4,61.6,42.4,111.5,27
80.0,59.2,123.5,77.5,53.9,121.8,68.9,44.0,121.6,28
88.5,64.9,128.6,87.9,60.4,128.5,77.1,46.6,128.5,29
97.4,72.3,132.0,98.6,68.8,132.9,86.1,51.1,132.7,30
106.5,81.6,134.8,109.0,79.1,135.7,95.7,58.3,134.8,31
115.6,92.9,137.8,118.4,91.1,137.2,105.8,68.6,135.4,32
124.4,105.6,140.7,126.7,104.3,137.7,115.8,81.3,134.8,33
132.8,119.0,143.2,133.8,118.0,137.7,124.9,95.2,133.1,34
140.7,132.3,144.8,139.8,131.5,137.3,132.3,109.0,130.7,35
147.8,144.8,145.3,144.7,144.2,136.9,137.6,121.9,127.7,36
154.0,156.2,144.9,148.8,155.5,136.4,141.1,133.7,124.6,37
158.9,166.0,143.8,152.4,165.3,135.7,143.3,144.4,121.5,38
162.3,174.0,142.3,155.6,173.1,134.8,144.8,154.0,119.0,39
164.1,180.0,140.8,158.9,178.8,133.7,146.0,162.6,117.3,40
164.7,184.6,139.5,162.0,183.1,132.4,147.2,170.5,116.2,41
165.0,188.7,138.5,164.9,187.0,131.4,148.4,178.0,115.7,42
165.6,193.1,138.2,167.3,191.4,130.7,149.8,185.6,115.7,43
167.1,198.3,138.6,169.2,197.0,130.6,151.5,193.3,116.1,44
169.4,203.7,140.1,170.8,203.0,131.5,153.5,200.6,117.0,45
172.4,208.7,142.6,172.5,208.5,133.6,156.0,206.6,118.7,46
175.6,212.2,146.5,174.8,212.2,137.3,159.0,210.6,121.5,47
179.0,213.7,151.5,177.7,213.5,142.6,162.4,211.8,125.4,48
181.9,212.8,156.7,180.8,211.8,148.2,165.8,210.2,129.6,49
183.7,209.0,160.7,183.1,207.0,152.8,168.4,205.9,133.0,50
183.9,202.3,162.3,183.9,198.9,154.8,169.8,198.9,134.8,51
182.1,192.4,160.5,182.7,187.6,153.2,169.4,189.6,134.2,52
178.7,180.9,156.1,179.8,174.6,148.9,167.6,178.7,131.7,53
174.1,169.2,150.2,175.8,161.7,143.2,164.8,167.3,128.0,54
169.0,159.0,144.0,171.5,150.6,137.3,161.5,156.5,124.0,55
163.7,151.4,138.4,167.2,142.8,132.4,158.1,147.0,120.2,56
158.9,146.0,133.6,163.1,137.6,128.4,154.9,138.9,116.8,57
154.6,141.6,129.4,159.2,133.9,124.8,151.8,132.1,113.7,58
151.5,137.3,125.7,155.6,130.7,121.5,149.0,126.5,110.7,59
149.6,132.4,122.4,152.3,127.1,118.1,146.5,122.0,107.9,60
148.6,127.0,119.6,149.5,123.1,114.8,144.4,118.1,105.5,61
148.0,121.6,117.4,147.2,119.0,111.7,142.7,114.8,103.5,62
147.3,116.5,115.7,145.7,114.9,109.0,141.5,111.5,102.4,63
146.2,112.2,114.6,145.0,111.0,106.9,140.9,108.3,102.2,64
145.0,108.9,114.2,145.4,107.7,105.7,141.7,105.9,103.2,65
144.1,106.7,114.6,146.7,105.6,105.5,144.9,105.2,105.6,66
144.0,105.7,115.7,149.0,104.9,106.5,151.5,107.4,109.9,67
144.9,106.1,117.6,152.3,106.0,109.1,161.9,112.9,116.0,68
146.9,107.7,120.3,156.4,108.8,113.1,174.6,120.9,123.7,69
150.0,110.4,123.9,161.5,113.2,118.3,187.4,130.0,132.6,70
154.0,114.0,128.2,167.3,119.0,124.8,198.1,139.0,142.3,71
158.8,118.3,133.2,173.7,126.0,132.4,205.2,146.8,152.4,72
164.0,123.4,138.9,180.4,133.7,140.6,209.1,153.5,162.2,73
169.2,129.2,145.1,186.7,141.5,149.1,211.1,159.7,171.2,74
174.0,135.7,151.5,192.3,149.0,157.3,212.2,165.6,178.9,75
177.8,142.8,157.9,196.5,155.5,164.9,213.2,171.5,184.7,76
180.5,149.8,163.8,199.0,160.6,171.1,213.0,176.4,188.2,77
181.8,155.7,168.3,199.4,163.6,175.2,210.4,179.1,188.9,78
181.4,159.8,170.6,197.3,164.0,176.5,203.9,178.1,186.4,79
179.3,161.4,170.4,192.4,161.5,174.5,192.9,172.9,180.7,80
175.7,160.8,168.3,185.2,157.1,170.5,179.0,164.7,172.7,81
171.0,159.0,165.3,176.6,152.2,165.7,164.4,155.6,163.9,82
165.6,156.5,162.3,167.3,148.2,161.5,151.5,147.3,155.6,83
