SuSa,SuSu,SuWd,TrSa,TrSu,TrWd,WiSa,WiSu,WiWd,quarterHour
58.2,53.8,57.7,64.9,60.4,64.4,67.9,63.5,66.7,0
57.3,53.3,56.2,63.8,59.6,62.6,67.6,62.2,64.8,1
56.7,53.0,54.9,62.9,59.1,61.0,67.8,61.4,63.2,2
56.1,52.6,53.7,61.9,58.4,59.6,67.8,60.8,61.9,3
55.2,51.7,52.6,60.6,57.3,58.2,67.3,59.9,60.8,4
54.2,50.6,51.6,59.1,56.1,57.0,66.5,59.0,59.8,5
53.3,49.6,50.8,57.9,55.1,56.2,65.4,58.1,59.0,6
52.6,49.1,50.2,57.2,54.9,56.1,64.3,57.2,58.4,7
52.2,49.1,50.1,57.4,55.7,56.7,63.2,56.7,58.0,8
52.0,49.6,50.2,58.0,57.0,57.6,62.3,56.3,57.7,9
51.8,50.1,50.3,58.5,58.1,58.3,61.5,56.1,57.5,10
51.4,50.2,50.2,58.4,58.4,58.4,60.8,56.1,57.2,11
50.7,49.8,49.9,57.5,57.4,57.5,60.1,56.2,57.0,12
49.7,48.9,49.2,55.9,55.5,55.9,59.5,56.3,56.7,13
48.7,47.8,48.5,54.1,53.3,54.1,59.0,56.3,56.4,14
47.9,46.7,47.9,52.6,51.4,52.6,58.4,56.1,56.1,15
47.4,46.0,47.4,51.6,50.4,51.7,57.8,55.5,55.7,16
47.3,45.6,47.2,51.1,50.3,51.5,57.3,54.9,55.5,17
47.5,45.8,47.4,51.1,51.0,51.8,57.1,54.6,55.6,18
47.9,46.7,47.9,51.4,52.6,52.6,57.2,54.9,56.1,19
48.5,48.5,48.9,52.1,54.9,53.8,58.0,56.1,57.2,20
49.3,51.1,50.7,53.1,58.1,55.9,59.3,58.6,59.4,21
50.3,54.8,53.4,54.8,62.4,59.2,61.4,62.8,62.7,22
51.4,59.6,57.2,57.2,67.8,64.3,64.3,68.9,67.8,23
53.1,65.8,62.8,60.8,74.7,71.5,68.2,77.5,74.8,24
57.1,75.1,71.2,67.0,84.4,81.9,74.7,89.2,84.9,25
66.0,89.1,84.0,77.3,98.3,96.3,85.3,104.8,98.9,26
81.8,109.8,102.8,93.5,118.0,115.7,101.6,125.0,118.0,27
105.9,137.8,128.1,116.4,144.0,140.3,124.9,150.1,142.5,28
135.6,169.2,156.9,144.2,173.6,168.1,153.4,178.5,170.9,29
167.0,198.9,185.2,174.4,203.1,196.6,185.3,208.2,200.8,30
196.3,222.0,209.1,204.5,229.0,223.1,218.5,237.2,230.2,31
220.0,234.3,225.3,231.5,248.0,245.1,250.4,263.0,256.4,32
235.9,236.2,232.6,252.2,258.5,259.7,276.9,282.1,276.3,33
241.9,229.0,230.9,262.7,259.2,264.2,293.5,290.8,286.3,34
236.0,213.8,219.6,259.4,248.9,255.9,295.6,285.1,282.7,35
217.4,192.5,199.4,240.3,227.3,233.6,280.5,263.1,263.8,36
190.6,168.3,174.1,210.7,198.8,202.5,252.9,230.4,234.4,37
161.4,144.9,148.5,177.8,169.1,169.5,219.2,194.8,201.1,38
135.5,126.2,127.3,148.4,143.7,141.4,185.8,163.6,170.6,39
117.5,114.8,114.4,128.2,126.8,123.3,158.0,142.8,148.1,40
107.1,109.9,108.7,116.7,117.8,114.3,137.3,131.8,133.7,41
102.7,109.6,108.3,112.0,114.7,111.8,123.9,128.2,126.0,42
102.8,112.2,111.0,112.2,115.7,113.3,118.0,129.7,123.8,43
105.9,115.9,115.0,115.3,118.7,116.5,119.2,134.0,125.7,44
109.8,119.3,118.7,119.2,122.2,119.6,124.5,138.9,129.3,45
112.6,121.2,121.0,122.0,124.5,121.4,130.0,142.1,132.2,46
112.2,120.3,120.3,121.5,123.8,120.3,132.0,141.4,132.0,47
107.1,115.9,116.0,116.4,119.2,115.6,127.8,135.2,127.0,48
98.8,108.9,109.0,108.1,111.8,108.4,119.2,125.4,118.8,49
89.7,100.9,100.9,98.9,103.4,100.4,109.1,114.6,109.6,50
81.8,93.5,93.5,91.1,95.8,93.5,100.5,105.1,101.6,51
76.8,87.9,87.9,86.4,90.5,88.9,95.5,99.2,96.8,52
74.3,84.2,84.2,84,87.3,86.4,93.4,96.4,94.6,53
73.2,82.3,82.2,82.9,85.8,85.4,92.8,95.9,94.2,54
72.4,81.8,81.8,81.8,85.3,85.3,92.3,97,94.6,55
71.2,82.5,82.5,79.8,85.4,85.5,90.7,98.7,95.1,56
69.7,84.0,83.9,77.4,85.8,85.9,88.2,100.7,95.5,57
68.0,85.5,85.5,75.1,86.2,86.3,85.5,102.6,95.7,58
66.6,86.5,86.5,73.6,86.5,86.5,83.0,104.0,95.8,59
65.6,86.5,86.5,73.4,86.3,86.3,81.1,104.6,95.8,60
65.0,85.8,85.9,74.1,85.8,86.0,79.9,104.8,95.8,61
64.6,84.8,85.0,75.2,85.0,85.6,79.4,104.9,96.1,62
64.3,84.1,84.1,75.9,84.1,85.3,79.4,105.1,97.0,63
63.9,83.9,83.7,76.1,83.2,85.2,80.1,106.1,98.5,64
63.8,84.1,83.5,76.1,82.6,85.4,81.5,107.9,101.2,65
64.2,84.2,83.3,77.0,82.8,86.2,84.3,111.0,105.2,66
65.4,84.1,83.0,79.4,84.1,87.6,88.8,115.7,111.0,67
68.1,84.0,82.8,84.5,87.4,90.3,95.7,122.5,119.1,68
74.2,86.4,85.7,93.6,94.7,96.6,106.9,133.2,131.1,69
85.8,94.8,95.1,108.5,108.4,109.2,124.9,149.7,148.8,70
105.1,112.2,114.5,130.9,130.9,130.9,151.9,174.1,174.1,71
133.1,140.2,145.3,161.0,162.9,162.7,188.6,206.9,207.3,72
164.7,173.4,181.1,194.2,198.9,198.8,229.1,242.9,243.1,73
193.7,205.0,213.8,224.4,231.9,232.0,266.1,275.4,274.4,74
213.8,227.8,234.8,245.3,254.7,254.7,292.1,297.9,294.4,75
220.4,236.6,238.4,252.6,262.0,261.4,301.4,305.2,298.0,76
215.3,232.9,227.6,247.7,256.0,254.4,295.6,298.6,287.5,77
201.8,219.9,208.2,233.7,240.6,237.9,278.1,280.8,267.1,78
183.4,201.0,185.8,213.8,219.6,216.1,252.4,254.7,240.7,79
163.1,179.1,164.9,190.8,196.8,192.7,221.6,223.1,212.2,80
142.7,156.5,146.5,167.0,173.8,169.6,189.2,189.7,183.8,81
123.7,135.1,130.5,144.4,152.2,148.1,158.2,158.1,157.6,82
107.5,116.8,116.8,125.0,133.2,129.7,132,132.0,135.5,83
95.2,103.2,105.4,110.4,118,115.3,113.0,114.3,118.9,84
86.4,93.5,96.1,99.9,106.3,104.6,100.3,103.5,107.2,85
80.2,86.7,88.7,92.7,97.5,96.8,92.4,97.3,99.1,86
75.9,81.8,83.0,87.6,91.1,91.1,87.6,93.5,93.5,87
72.7,77.7,78.6,83.8,86.5,86.9,84.6,90.0,89.3,88
70.2,74.1,75.3,80.6,83.0,83.7,82.4,86.6,86.1,89
67.9,70.9,72.6,77.8,80.0,80.9,80.5,83.0,83.3,90
65.4,67.8,70.1,74.8,77.1,78.3,78.3,79.4,80.6,91
62.6,64.7,67.4,71.3,73.8,75.3,75.3,75.8,77.7,92
59.6,61.8,64.6,67.8,70.3,72.3,71.8,72.3,74.6,93
57.0,59.2,61.9,64.5,67.0,69.3,68.3,69.1,71.6,94
54.9,57.2,59.6,61.9,64.3,66.6,65.4,66.6,68.9,95
