SuSa,SuSu,SuWd,TrSa,TrSu,TrWd,WiSa,WiSu,WiWd,quarterHour
70.9,65.9,69.7,74.5,66.8,73.1,77.1,70.0,75.2,0
69.3,63.7,66.6,72.3,64.3,69.3,76.3,67.4,71.9,1
68.0,61.8,63.9,70.7,62.4,66.0,76.1,65.6,69.1,2
66.8,60.2,61.8,69.2,61.0,63.5,75.8,64.3,66.8,3
65.1,58.8,60.2,67.8,60.0,61.8,75.0,63.5,64.8,4
63.1,57.7,58.9,66.2,59.1,60.7,73.7,62.9,63.2,5
61.2,56.7,57.8,64.8,58.4,60.0,72.0,62.4,61.9,6
59.4,56.1,56.9,63.5,57.7,59.4,70.1,61.8,61.0,7
57.9,55.6,56.0,62.4,57.0,58.6,68.1,61.0,60.4,8
56.8,55.2,55.1,61.4,56.2,57.7,66.2,60.1,59.9,9
56.0,54.9,54.3,60.4,55.6,56.9,64.3,59.2,59.6,10
55.2,54.4,53.6,59.4,55.2,56.1,62.7,58.5,59.4,11
54.5,53.8,53.1,58.1,55.1,55.4,61.2,58.1,59.0,12
53.9,53.1,52.7,56.9,55.2,54.9,60.0,57.9,58.7,13
53.3,52.5,52.3,55.8,55.3,54.6,59.1,57.8,58.2,14
52.8,51.9,51.9,55.2,55.2,54.4,58.5,57.7,57.7,15
52.4,51.6,51.5,55.2,54.9,54.5,58.3,57.5,57.1,16
52.1,51.6,51.3,55.6,54.7,54.7,58.3,57.3,56.7,17
51.9,52.0,51.3,56.2,54.7,55.3,58.7,57.6,56.8,18
51.9,52.8,51.9,56.9,55.2,56.1,59.4,58.5,57.7,19
52.1,54.1,53.2,57.4,56.7,57.2,60.3,60.4,59.6,20
52.6,56.1,55.2,57.9,59.1,59.0,61.3,63.3,62.3,21
53.3,59.1,57.8,58.5,62.7,61.8,62.4,67.4,65.9,22
54.4,63.5,61.0,59.4,67.6,65.9,63.5,72.5,70.1,23
56.0,69.3,64.8,60.7,73.9,71.7,64.5,78.9,74.8,24
58.4,76.3,69.4,63.2,81.5,78.9,66.2,86.5,80.4,25
62.2,84.4,75.2,67.7,90.4,87.5,69.1,95.1,87.2,26
67.6,93.2,82.4,75.0,100.6,97.3,74.2,104.7,95.6,27
75.1,102.5,91.3,85.7,111.8,108,81.9,115.2,105.8,28
84.4,112.3,101.6,98.7,123.7,119.3,91.7,126.5,117.4,29
95.2,122.6,112.8,112.9,135.8,131,103.1,138.4,129.8,30
107.2,133.5,124.5,127,147.6,142.6,115.4,150.9,142.6,31
119.9,144.9,136.1,139.9,158.5,153.7,128.1,163.6,155.2,32
132.7,155.5,146.7,151.3,168.0,163.5,141.0,175.8,167.0,33
144.4,164.0,155.0,161.4,175.6,170.8,154.1,186.7,177.3,34
154.2,169.0,159.9,169.8,180.5,174.8,167.3,195.4,185.5,35
161.2,169.6,160.6,176.6,182.4,174.7,180.5,201.1,191.0,36
165.5,166.7,157.8,181.3,181.3,171.3,192.1,203.4,193.5,37
167.0,161.4,152.8,183.3,177.3,165.7,200.6,202.2,192.6,38
165.7,155.0,146.7,182.2,170.6,159.1,204.4,197.0,188.0,39
