tid;b_m;capex;d_phi;d_v;g_m;id;opex;r_sc;s_rated;tap_max;tap_min;tap_neutr;tap_side;v_hv;v_lv;x_sc
12031;0;0;0;-4;0;transformer_type_eerbnded8db8596b4c8e32ab19df5071ae45f99c30023f473ae353098e6e60a35a0d6a;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;15.4397754129375
12032;0;0;0;-2.5;0;transformer_type_dInf3d1427f0cf838aae9b34ed82c2e64c14291e05476f9d644e1cfa12868bbe37d;0;0.0179687497904524;400.000005960464;3;1;2;f;10;0.400000005960464;10.3999839406627
12033;0;0;0;-4;0;transformer_type_ene36c40197725926e72c4ecc4e06c559408453f2414101aeed5ab374b5f089ca53;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;10.3596655663234
12034;0;0;0;-2.5;0;transformer_type_tee9efb0751ba81cd6eb444aa0648b52d4a3a50854b888b855c59ac1f075ca5a38fIath;0;0.358886741778407;159.999996423721;3;1;2;f;10;0.400000005960464;24.4973723183705
12035;1.1;10;0.1;1.5;500.2;HöS-MS_1;0;5.1;40000;12;-12;0;f;380;10;110.3
12036;0;0;0;-4;0;transformer_type_eebfb06a4f35f87b4ae76701d95d37061a0ee74c5503453ebe0bcbb056ccec16b8r;0;0.358886741778407;159.999996423721;2;1;2;f;10;0.400000005960464;23.1222157890639
12037;0;0;0;1.77777802944183;0;transformer_type_eed3b537518ff3546f6ebb11501ace05db3149185c2fd52a5e8fb1eaf8cb772775eet;0;0;10000;19;1;10;f;30;10;7.11000008583069
12038;0;0;0;-2.5;0;transformer_type_hc4a7277821b0672056c816ea5b38f0d83ae616e51e763a7f4554620daa12f35fg;0;0.00411922549628015;629.999995231628;3;1;2;f;10;0.400000005960464;6.23809403124207
12039;0;0;0;-2.5;0;transformer_type_def605fcb614163e9c396f0ddc6da86196a15f262109d6b809fdd847d0f1d53e1tlh;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;15.7197800924536
12040;0;0;0;-4;0;transformer_type_lie7df66c507dc131e1c950d35e6578dff1af47d643aae70644f6a80e166b04a14reb;0;0.0179687497904524;400.000005960464;3;1;2;f;10;0.400000005960464;9.74998353537636
12041;0;0;0;-2.5;0;transformer_type_gG20e2ee437d3853c7ee5479a59ec713ad3dc670156c74e1499f6dc45f27992278;0;0.358886741778407;159.999996423721;3;1;2;f;10;0.400000005960464;24.9974244322541
12042;0;0;0;0;0;transformer_type_m50e356ec2469b484457d8412644e9658696ea507c1002adabe2b190cceb1fda1daai;0;0.358886741778407;159.999996423721;3;1;2;f;10;0.400000005960464;24.9974244322541
12043;0;0;0;-2.5;0;transformer_type_g1e5e192984a06a841427be9254e9c6e7e09e165c6562f394fa30f6172807ce6anai;0;0.358886741778407;159.999996423721;3;1;2;f;10;0.400000005960464;25.6224866887139
12044;0;0;0;-2.5;0;transformer_type_a467c7d38228b487b9df98f1beb6e778b573401e0029b31c570c8caff27f8db6btdid;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;41.3629947979705
12045;0;0;0;-4;0;transformer_type_bi3b8ddd97fc40058e01b4c428c0b65b913062c86ae9e158d5ae4763d4241f1cb5bar;0;0.0179687497904524;400.000005960464;3;1;2;f;10;0.400000005960464;10.4249845497208
12046;0;0;0;1.5;0;transformer_type_indadaf3f64ca1bae09af5e787d7e50c5375457ccd87ae7ccef397abbfebf921b5hrh;0;0;16000;19;1;10;f;30;10.5;4.33125
12047;0;0;0;-2;0;transformer_type_Inead6a88b5befb10a28e375e2fe6287bfe770fe2cd52d86fe90544a91c3d15e94ce;0;0.358886741778407;159.999996423721;3;1;2;f;10;0.400000005960464;24.3723589527973
12048;0;0;0;-4;0;transformer_type_ne5f0a5e9148e3e6a75befc7c97ced19f3a7d2fb3a390b68b9850cf787658ca391rdnl;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;10.8796819921333
12049;0;0;0;-2.5;0;transformer_type_Iednfa7c868cd5f360bb83b5dbc01da7e9e509cd6757caf5066a95401df180ebd5bebnn;0;0.00411922549628015;629.999995231628;3;1;2;f;10;0.400000005960464;6.07936360873516
12050;0;0;0;-5;0;transformer_type_nbaae880bad2aa61aa9f91f8dac741371453d2636347cc394d4eeecb559051f6aieh;0;0.00411922549628015;629.999995231628;3;1;2;f;10;0.400000005960464;6.19047501821389
12051;0;0;0;-4;0;transformer_type_eb60da7fbfb88969d8cc0770b3b5db38efaa47c0b0a15270a4c31dc16e07bf0flnr;0;0.124999998137355;200.000002980232;3;1;2;f;10;0.400000005960464;19.1995923793878
12052;0;0;0;-2.5;0;transformer_type_i6faa045755eab97a9f724b41a87fc5ed5c6627451e140f9cfc39c5d73d6220a5;0;0.00411922549628015;629.999995231628;2;1;2;f;10;0.400000005960464;6.50793510217658
12053;0;0;0;-4;0;transformer_type_hr91685665c340d142e5c185fa9970d2f41a11e6258c47ea11bd2d944ee67cbb75gb;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;35.0563468843417
12054;0;0;0;-4;0;transformer_type_af2700eaa221f57a4f0ca9e1c44f12a3a524c210f97fc49e92c3739c6d09639a8rnh;0;0.358886741778407;159.999996423721;3;1;2;f;10;0.400000005960464;24.8099051379156
12055;0;0;0;1.77777802944183;0;transformer_type_aGn891262886054562b1681ac240243ce06fcaf255cc6a244f171453b9be83b7e10ednr;0;0;16000;19;1;10;f;30;10;4.33124989271164
12056;0;0;0;-2;0;transformer_type_bde5504f98b57a7557bfa67822cb5f89f43007dedb354be4f23ffd4eb3ef4f91387;0;0.358886741778407;159.999996423721;3;1;2;f;10;0.400000005960464;26.8726054127501
12057;0;0;0;-2.5;0;transformer_type_mcace6c6434cbe839276bdb3f49f98486286abde67b579303079e5962a4a44392glng;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;38.4602051824927
12058;0;0;0;-4;0;transformer_type_ngdafbc63d52d07dc43f1d53e4c15902788e694f057a40991deb0c69d80d50a6beagr;0;0.999999985098839;100.000001490116;3;1;2;f;10;0.400000005960464;39.6874032379946
12059;0;0;0;-4;0;transformer_type_ib6e807b9e6fb4b0feb51336eca026af012f340c8e514497367ac4593570f81d0ee;0;0.0179687497904524;400.000005960464;3;1;2;f;10;0.400000005960464;10.149983800469
12060;0;0;0;-2.5;0;transformer_type_f9702ca3973bc17e281aa0c172a9099036d63c6f178281a0566a14af9a49651c0ih;0;0.0179687497904524;400.000005960464;3;1;2;f;10;0.400000005960464;9.47498272511861
12061;0;0;0;1.5;0;transformer_type_trfnrcca1ea60ffbe240a22492cbd2196775e8bcacd9f07261730f2590b80cc89e8df;0;0;40000;19;1;10;f;110;30;37.51
12062;0;0;0;0;0;transformer_type_e2a3f073647d83f925ca2543169e24626418651cc3cac47243826d1ceb07fd88btreh;0;7.56249980895518e-07;40000;13;-13;0;f;110;10;30.25
